X0Y1,Defect,StrainRate,Temperature,FractureStrain,FractureStrength,YoungsModulus
1,0,0.00025,1200,0.0968,67.366629,840.116115
1,0,0.00025,300,0.187425,105.559166,866.850601
1,0,0.00025,300,0.193275,106.953967,861.187994
1,0,0.00025,300,0.19535,107.244251,861.388007
1,0,0.00025,300,0.1903,106.25536,871.029032
1,0,0.00025,300,0.192575,106.653097,870.540078
1,0,0.00025,600,0.13285,86.815371,870.524388
1,0,0.00025,600,0.1404,89.511328,876.487352
1,0,0.00025,600,0.138225,88.950568,867.10351
1,0,0.00025,600,0.155125,94.248898,867.914415
1,0,0.00025,600,0.1469,91.866495,868.836294
1,0,0.0005,1,0.2807,119.357692,842.549525
1,0,0.0005,1,0.28105,119.368774,842.501641
1,0,0.0005,1,0.2804,119.352669,842.506895
1,0,0.0005,1,0.2805,119.356202,842.506082
1,0,0.0005,1,0.28135,119.37028,842.527781
1,0,0.0005,10,0.26655,118.769665,840.896346
1,0,0.0005,10,0.26465,118.697884,840.937436
1,0,0.0005,10,0.26475,118.705122,840.758012
1,0,0.0005,10,0.26375,118.662856,840.767352
1,0,0.0005,10,0.26265,118.600379,840.818193
1,0,0.0005,100,0.2323,115.11839,852.421278
1,0,0.0005,100,0.23325,115.105519,850.523178
1,0,0.0005,100,0.232,114.920419,848.944697
1,0,0.0005,100,0.23155,114.874148,853.444605
1,0,0.0005,100,0.23265,115.030577,850.550339
1,0,0.0005,1200,0.0991,68.150263,847.55005
1,0,0.0005,1200,0.1043,70.76417,843.320351
1,0,0.0005,1200,0.10185,69.539786,839.813698
1,0,0.0005,1200,0.10575,71.809797,849.633184
1,0,0.0005,1200,0.0914,64.453882,846.720398
1,0,0.0005,300,0.1955,107.357297,870.472832
1,0,0.0005,300,0.1946,107.09151,862.512462
1,0,0.0005,300,0.1955,107.150217,857.873638
1,0,0.0005,300,0.197,107.598708,873.817881
1,0,0.0005,300,0.19525,107.140916,866.985659
1,0,0.0005,600,0.14965,92.939523,868.620048
1,0,0.0005,600,0.13975,89.223388,877.159358
1,0,0.0005,600,0.15305,94.102759,866.053269
1,0,0.0005,600,0.15145,92.965305,869.542816
1,0,0.0005,600,0.15595,94.801007,873.017305
1,0,0.001,1,0.2812,119.381361,842.838783
1,0,0.001,1,0.282,119.384713,842.832707
1,0,0.001,1,0.2809,119.375752,842.845243
1,0,0.001,1,0.2814,119.376118,842.809289
1,0,0.001,1,0.282,119.387041,842.848854
1,0,0.001,10,0.2671,118.812809,840.875547
1,0,0.001,10,0.2662,118.756857,840.886704
1,0,0.001,10,0.2671,118.794745,840.740538
1,0,0.001,10,0.2675,118.801402,840.721698
1,0,0.001,10,0.2659,118.745481,840.750842
1,0,0.001,100,0.2302,114.81899,851.703581
1,0,0.001,100,0.2331,115.126265,848.861093
1,0,0.001,100,0.2361,115.377414,847.350885
1,0,0.001,100,0.2339,115.106788,851.943887
1,0,0.001,100,0.2323,114.941868,851.70262
1,0,0.001,1200,0.1058,71.284297,851.748182
1,0,0.001,1200,0.1107,74.088368,836.069337
1,0,0.001,1200,0.1097,73.238307,841.289264
1,0,0.001,1200,0.108,72.374486,852.689156
1,0,0.001,1200,0.106,71.739305,854.11802
1,0,0.001,300,0.1981,107.682054,871.682496
1,0,0.001,300,0.1994,107.990763,864.785468
1,0,0.001,300,0.1964,107.332699,857.77991
1,0,0.001,300,0.1994,107.997231,874.027546
